,CO,AB,FACID,DIS,FNAME,FSTREET,FCITY,FZIP,FSIC,COID,DISN,CHAPIS,CERR_CODE,TOGT,ROGT,COT,NOXT,SOXT,PMT,PM10T,PM2.5T,lat,lon
391,1,SF,19238,BA,COOPERVISION INC,5870 STONERIDGE DRIVE,PLEASANTON,94588,3851,ALA,BAY AREA AQMD,,,0.000261177,0.00022371,0.0014914020000000002,0.00425799,9.135e-06,0.000260346,0.000249932,0.000243944,37.69024,-121.89707
392,1,SF,13676,BA,COPPER HARBOR COMPANY,2250 DAVIS STREET,SAN LEANDRO,94577,2899,ALA,BAY AREA AQMD,,,0.41055,0.41055,,,,,,,37.71632,-122.18801
393,1,SF,2798,BA,CORAD,25181 HUNTWOOD AVE,HAYWARD,94544,3479,ALA,BAY AREA AQMD,,,0.36538609200000005,0.364908196,0.008803331999999999,0.03527142,0.00014292799999999998,0.000754572,0.000754572,0.000754572,37.65078,-122.08377
394,1,SF,19582,BA,CORDIS CORPORATION,6422 COMMERCE DRIVE,FREMONT,94555,8731,ALA,BAY AREA AQMD,,,0.037878177,0.001647536,0.004262291,0.003462067,2.546e-06,5.7467e-05,5.5168000000000004e-05,5.3846000000000006e-05,37.55266,-122.06583
395,1,SF,21807,BA,"CORE SYSTEMS, INC",47757 WARM SPRINGS BLVD,FREMONT,94539,5065,ALA,BAY AREA AQMD,,,0.151481271,0.151481271,,,,,,,37.47795,-121.9234
396,1,SF,10824,BA,CORT FURNITURE RENTAL,19360 CABOT BLVD,HAYWARD,94545,7539,ALA,BAY AREA AQMD,,,0.4519384,0.25011825,,,,,,,37.65542,-122.13699
397,1,SF,6149,BA,"COSCHEM, INC",8108 CAPWELL DRIVE,OAKLAND,94621,2844,ALA,BAY AREA AQMD,,,0.005914728,0.004286154,0.02142862,0.10305539999999999,0.00048707,0.008379533,0.0077987230000000005,0.007740642,37.7383961694673,-122.202689471791
398,1,SF,16607,BA,COSTCO  WHOLESALE,22330 HATHAWAY AVE,HAYWARD,94541,6512,ALA,BAY AREA AQMD,,,0.000219552,0.00021375299999999998,0.000663,0.003049659,1.4140000000000001e-06,4.3553e-05,4.1811e-05,4.0809e-05,37.66793,-122.10334
399,1,SF,13361,BA,COSTCO WHOLESALE,2800 INDEPENDENCE DR,LIVERMORE,94550,5331,ALA,BAY AREA AQMD,,,0.0027575140000000004,0.0026915840000000003,0.03828375,0.053412639000000005,0.000197182,0.0067439990000000005,0.005033099,0.00343626,37.70259,-121.81226
400,1,SF,15235,BA,"COULTER FORGE COMPANY, INC",1494 67TH STREET,EMERYVILLE,94608,3462,ALA,BAY AREA AQMD,,,0.211179218,0.159102376,0.95931002,4.75713083,0.015575015,0.177239872,0.142369989,0.127262878,37.84868,-122.29439
401,1,SF,23021,BA,COUNTER CULTURE COFFEE,1329 64TH STREET,EMERYVILLE,94608,2043,ALA,BAY AREA AQMD,,,0.000190642,0.00017392200000000002,0.012224297,0.02273158,0.0006319159999999999,0.00043742300000000004,0.000307384,0.000186015,37.8450803475575,-122.289711590601
402,1,SF,17190,BA,COUNTY OF ALAMEDA,1221 OAK STREET,OAKLAND,94612,9229,ALA,BAY AREA AQMD,,,3.0394e-05,2.7049e-05,0.000135243,0.001014993,8.159999999999999e-07,1.4215e-05,1.3646e-05,1.3319e-05,37.79991,-122.26381
403,1,SF,17548,BA,COUNTY OF ALAMEDA,2500 FAIRMONT DRIVE,SAN LEANDRO,94578,9229,ALA,BAY AREA AQMD,,,0.038737751,0.031309212,0.066936733,0.40032037200000004,0.002227915,0.039103564,0.039102717,0.039102229,37.71506,-122.11663
404,1,SF,18663,BA,COUNTY OF ALAMEDA,2892 FAIRMONT DRIVE,SAN LEANDRO,94577,9199,ALA,BAY AREA AQMD,,,6.3855e-05,5.538e-05,0.000399968,0.001053917,2.0659999999999998e-06,5.8009e-05,5.5688999999999995e-05,5.4355e-05,37.70943,-122.12207
405,1,SF,20525,BA,COUNTY OF ALAMEDA,MINES ROAD,LIVERMORE,94550,1522,ALA,BAY AREA AQMD,,,6.0878e-05,5.3295e-05,0.00044195800000000005,0.00101412,1.849e-06,5.7156999999999995e-05,5.4871000000000004e-05,5.355600000000001e-05,37.65626,-121.7266
406,1,SF,21513,BA,COUNTY OF ALAMEDA,3599 ARDEN ROAD,HAYWARD,94545,4953,ALA,BAY AREA AQMD,,,0.001141184,0.00098186,0.009241023000000001,0.03179792,3.8845e-05,0.0009299060000000001,0.0009299060000000001,0.0009299060000000001,37.6229049662259,-122.122506845477
407,1,SF,10998,BA,COUNTY OF ALAMEDA - GSA,400 BROADWAY AVENUE,OAKLAND,94611,9229,ALA,BAY AREA AQMD,,,0.0008275410000000001,0.000805685,0.002499,0.01149487,5.329e-06,0.000855698,0.00082147,0.0008017889999999999,37.82338,-122.25929
408,1,SF,11001,BA,COUNTY OF ALAMEDA - GSA,2200 FAIRMONT DRIVE,SAN LEANDRO,94578,9199,ALA,BAY AREA AQMD,,,0.001204156,0.001172354,0.0036363,0.01672621,7.753999999999999e-06,0.001245128,0.001195323,0.001166685,37.712597,-122.120727
409,1,SF,13908,BA,COUNTY OF ALAMEDA - GSA,1401 LAKESIDE DRIVE,OAKLAND,94612,9199,ALA,BAY AREA AQMD,,,0.000305565,0.000297983,0.000867,0.003988015,1.849e-06,0.000296875,0.000285,0.00027817099999999996,37.80142,-122.26309
410,1,SF,13909,BA,COUNTY OF ALAMEDA - GSA,15001 FOOTHILL BOULEVARD,SAN LEANDRO,94578,9199,ALA,BAY AREA AQMD,,,0.00016888599999999998,0.000164426,0.0005099999999999999,0.002345891,1.087e-06,3.3503e-05,3.2162e-05,3.1392e-05,37.7101781900732,-122.123654635204
411,1,SF,13910,BA,COUNTY OF ALAMEDA - GSA,4595 GLEASON DRIVE,DUBLIN,94568,9199,ALA,BAY AREA AQMD,,,0.0012885989999999999,0.001254567,0.0038913000000000003,0.01789916,8.298e-06,0.00025562400000000003,0.00024539900000000004,0.00023952,37.71331,-121.87926
412,1,SF,13911,BA,COUNTY OF ALAMEDA - GSA,8000 PATTERSON RANCH RD,FREMONT,94538,9199,ALA,BAY AREA AQMD,,,0.00011896,0.00010334799999999999,0.0007262319999999999,0.001966742,3.806e-06,9.951799999999999e-05,9.5537e-05,9.3249e-05,37.55585,-122.07082
413,1,SF,13912,BA,COUNTY OF ALAMEDA - GSA,480 4TH STREET,OAKLAND,94607,9199,ALA,BAY AREA AQMD,,,0.000776875,0.0007563569999999999,0.002345999,0.0107911,5.003e-06,0.000154112,0.000147947,0.00014440299999999998,37.7977651364013,-122.276194644622
414,1,SF,13929,BA,COUNTY OF ALAMEDA - GSA,1106 MADISON STREET,OAKLAND,94612,9199,ALA,BAY AREA AQMD,,,5.6179e-05,5.3057e-05,7.428e-05,0.000618211,7.609999999999999e-07,1.891e-05,1.8153e-05,1.7718e-05,37.7996,-122.265
415,1,SF,13930,BA,COUNTY OF ALAMEDA - GSA,2000 150TH AVENUE,SAN LEANDRO,94578,9199,ALA,BAY AREA AQMD,,,0.000126395,0.00010989200000000001,0.000950415,0.002091244,4.024e-06,0.000105815,0.00010158299999999999,9.9149e-05,37.71074,-122.12215
416,1,SF,13931,BA,COUNTY OF ALAMEDA - GSA,4985 BRODER BLVD,DUBLIN,94568,9199,ALA,BAY AREA AQMD,,,0.006839875,0.006659231999999999,0.020654999,0.09500862,4.4043999999999994e-05,0.0013568529999999999,0.0013025789999999999,0.001271371,37.7159510534411,-121.88469155173
417,1,SF,13932,BA,COUNTY OF ALAMEDA - GSA,6175 MADIGAN AVE,DUBLIN,94568,9199,ALA,BAY AREA AQMD,,,0.0016027270000000002,0.001560398,0.004839899999999999,0.02226252,1.032e-05,0.000317939,0.000305222,0.000297909,37.7147,-121.88303
418,1,SF,13933,BA,COUNTY OF ALAMEDA - GSA,37000 PALOMARES ROAD,CASTRO VALLEY,94552,9199,ALA,BAY AREA AQMD,,,0.000734653,0.0007152510000000001,0.002218499,0.01020463,4.731e-06,0.00014573600000000002,0.00013990700000000001,0.000136555,37.6108897736518,-121.941865860718
419,1,SF,14742,BA,COUNTY OF ALAMEDA - GSA,393 13TH STREET,OAKLAND,94612,9199,ALA,BAY AREA AQMD,,,4.4884e-05,4.1985e-05,5.2481e-05,0.000882266,7.070000000000001e-07,1.979e-05,1.8999000000000002e-05,1.8544e-05,37.80289,-122.27021
420,1,SF,18947,BA,COUNTY OF ALAMEDA - PUBLIC WORKS AGENCY,8TH AVE & BETWEEN FALLON ST,OAKLAND,94607,9229,ALA,BAY AREA AQMD,,,0.000863878,0.000793182,0.0025092120000000002,0.01399859,1.7237e-05,0.000525435,0.0005044180000000001,0.0004923330000000001,37.79667,-122.264235
421,1,SF,6993,BA,COUNTY OF ALAMEDA PUBLIC WORKS,MARINA BLVD & NEPTUNE AVE,SAN LEANDRO,94577,9199,ALA,BAY AREA AQMD,,,3.09e-07,3.09e-07,,,,,,,37.70127,-122.18887
422,1,SF,10997,BA,"COUNTY OF ALAMEDA, GSA",661 WASHINGTON ST,OAKLAND,94611,9199,ALA,BAY AREA AQMD,,,0.059170535999999996,0.049170747,0.11227123,0.21279985,0.0029787579999999998,0.053116783,0.053051787999999996,0.053014415999999995,37.7999,-122.27628
423,1,SF,22368,BA,COUNTY OF ALAMEDA-GENERAL SERVICES AGENCY,2901 PERALTA OAKS CT,OAKLAND,94605,9221,ALA,BAY AREA AQMD,,,6.9638e-05,5.8041e-05,0.000348248,0.00327585,2.8269999999999998e-06,7.9038e-05,7.5876e-05,7.4058e-05,37.74405,-122.14553
