Observation Date,Confirmed,Day,Total per Day
01/28/2020,106,,
01/28/2020,95,,
01/28/2020,91,,
01/28/2020,90,,
01/28/2020,80,,
01/28/2020,70,,
01/28/2020,66,,
01/28/2020,51,,
01/28/2020,46,,
01/28/2020,44,,
01/28/2020,40,,
01/28/2020,34,,
01/28/2020,33,,
01/28/2020,33,,
01/28/2020,27,,
01/28/2020,24,,
01/28/2020,19,,
01/28/2020,15,,
01/28/2020,11,,
01/28/2020,10,,
01/28/2020,9,,
01/28/2020,8,,
01/28/2020,8,,
01/28/2020,8,,
01/28/2020,7,,
01/28/2020,6,,
01/28/2020,1,,
01/28/2020,1,,
01/28/2020,2,,
01/28/2020,1,,
01/28/2020,7,,
01/28/2020,14,,
01/28/2020,4,,
01/28/2020,7,,
01/28/2020,2,,
01/28/2020,4,,
01/28/2020,1,,
01/28/2020,4,,
01/28/2020,1,,
01/28/2020,1,,
01/28/2020,1,,
01/28/2020,1,,
01/28/2020,4,,
01/28/2020,1,,
01/28/2020,4,,
01/29/2020,3554,,
01/29/2020,296,,
01/29/2020,277,,
01/29/2020,221,,
01/29/2020,206,,
01/29/2020,152,,
01/29/2020,147,,
01/29/2020,130,,
01/29/2020,111,,
01/29/2020,109,,
01/29/2020,108,,
01/29/2020,99,,
01/29/2020,96,,
01/29/2020,84,,
01/29/2020,58,,
01/29/2020,56,,
01/29/2020,55,,
01/29/2020,48,,
01/29/2020,43,,
01/29/2020,39,,
01/29/2020,38,,
01/29/2020,27,,
01/29/2020,27,,
01/29/2020,24,,
01/29/2020,16,,
01/29/2020,13,,
01/29/2020,12,,
01/29/2020,10,,
01/29/2020,9,,
01/29/2020,9,,
01/29/2020,8,,
01/29/2020,7,,
01/29/2020,6,,
01/29/2020,1,,
01/29/2020,1,,
01/29/2020,2,,
01/29/2020,1,,
01/29/2020,7,,
01/29/2020,14,,
01/29/2020,4,,
01/29/2020,7,,
01/29/2020,2,,
01/29/2020,5,,
01/29/2020,1,,
01/29/2020,7,,
01/29/2020,1,,
01/29/2020,1,,
01/29/2020,1,,
01/29/2020,1,,
01/29/2020,4,,
01/29/2020,1,,
01/29/2020,4,,
01/29/2020,1,,
01/29/2020,4,,
01/30/2020,4903,,
01/30/2020,428,,
01/30/2020,354,,
01/30/2020,278,,
01/30/2020,277,,
01/30/2020,200,,
01/30/2020,182,,
01/30/2020,162,,
01/30/2020,158,,
01/30/2020,142,,
01/30/2020,129,,
01/30/2020,114,,
01/30/2020,112,,
01/30/2020,101,,
01/30/2020,78,,
01/30/2020,70,,
01/30/2020,65,,
01/30/2020,63,,
01/30/2020,46,,
01/30/2020,44,,
01/30/2020,41,,
01/30/2020,35,,
01/30/2020,31,,
01/30/2020,26,,
01/30/2020,19,,
01/30/2020,17,,
01/30/2020,14,,
01/30/2020,14,,
01/30/2020,12,,
01/30/2020,10,,
01/30/2020,9,,
01/30/2020,8,,
01/30/2020,7,,
01/30/2020,1,,
01/30/2020,1,,
01/30/2020,1,,
01/30/2020,2,,
01/30/2020,1,,
01/30/2020,11,,
01/30/2020,14,,
01/30/2020,4,,
01/30/2020,10,,
01/30/2020,2,,
01/30/2020,5,,
01/30/2020,1,,
01/30/2020,8,,
01/30/2020,2,,
01/30/2020,1,,
01/30/2020,1,,
01/30/2020,1,,
01/30/2020,4,,
