StateAbbr,PlaceName,Population2010,CASTHMA_CrudePrev,CASTHMA_AdjPrev
VA,Richmond,204214,10.1,10
OK,Tulsa,391906,10.3,10.3
CA,Garden Grove,170883,8,7.9
CA,Santa Clarita,176320,8.1,8
FL,Jacksonville,821784,8.3,8.2
CA,Whittier,85331,7.7,7.7
MI,Lansing,114297,11.8,11.7
TX,Carrollton,119097,8.3,8.1
IN,Fort Wayne,253691,10.9,10.9
CO,Lakewood,142980,9,9
GA,Macon,91351,11.2,11.1
UT,Salt Lake City,186440,8.9,8.9
CA,San Bernardino,209924,10.7,10.6
FL,Gainesville,124354,8.6,8.4
CA,Los Angeles,3792621,8.5,8.5
CA,Chino,77983,8.8,8.7
OH,Canton,73007,11.3,11.3
ND,Fargo,105549,8.8,8.7
TX,Longview,80455,9.7,9.7
NV,Sparks,90264,8.9,8.8
IN,Indianapolis,820445,10.9,10.9
WV,Charleston,51400,10.8,10.9
NJ,Newark,277140,10.8,10.7
TX,Amarillo,190695,9.2,9.2
AL,Tuscaloosa,90468,9.8,9.7
GA,Columbus,189885,9.5,9.5
CA,Victorville,115903,10.2,10.1
WI,Waukesha,70718,8.7,8.6
SD,Rapid City,67956,8.3,8.3
AZ,Surprise,117517,9.6,9.7
IL,Arlington Heights,75101,8.4,8.4
MN,Rochester,106769,7.9,7.9
TX,El Paso,649121,8.1,8.1
IL,Evanston,74486,8.8,8.8
WI,Milwaukee,594833,11,11
CA,Turlock,68549,9.4,9.3
VA,Suffolk,84585,9.5,9.5
AZ,Scottsdale,217385,9,9.1
OH,Toledo,287208,11.1,11.1
MO,O'Fallon,79329,9.1,9
CA,Santa Rosa,167815,9.2,9.2
TN,Chattanooga,167674,10.7,10.7
CA,Hemet,78657,9.5,9.7
OR,Gresham,105594,10.3,10.2
TX,Bryan,76201,9.5,9.4
WA,Tacoma,198397,10.6,10.5
CA,Buena Park,80530,8.1,8
FL,Palm Bay,103190,8.6,8.6
CO,Boulder,97385,8.4,8.1
VA,Alexandria,139966,8.1,8.1
CA,Antioch,102372,9.3,9.2
MA,Lynn,90329,11.5,11.4
MO,Lee's Summit,91364,9.1,9.1
MN,Duluth,86265,8.6,8.5
WA,Everett,103019,10.1,10.1
MN,St. Paul,285068,8.5,8.4
GA,Roswell,88346,7.5,7.5
VA,Chesapeake,222209,9,8.9
CA,Livermore,80968,8.8,8.7
CA,Carlsbad,105328,7.8,7.8
PA,Pittsburgh,305704,10.7,10.6
TX,Grand Prairie,175396,9,8.9
TX,Allen,84246,7.9,7.9
CO,Fort Collins,143986,9.1,8.8
CA,Anaheim,336265,8.4,8.4
CA,Pomona,149058,8.6,8.5
FL,Boca Raton,84392,6.9,6.9
PA,Philadelphia,1526006,11.6,11.6
CT,Danbury,80893,9.3,9.2
SC,Mount Pleasant,67843,7.9,7.8
WA,Spokane Valley,89755,10.7,10.7
HI,Honolulu,953207,9.5,9.6
TX,Missouri City,67358,8.6,8.4
DC,Washington,601723,10.1,10
TX,San Angelo,93200,8.8,8.7
CA,Tustin,75540,8,8
OH,Parma,81601,9.3,9.4
RI,Warwick,82672,11.3,11.4
AZ,Phoenix,1445632,10.3,10.2
UT,West Jordan,103712,9,8.9
CA,Milpitas,66790,6.7,6.7
CO,Colorado Springs,416427,9.5,9.5
FL,Port St. Lucie,164603,8.2,8.2
IL,Bolingbrook,73366,9,8.9
CA,Huntington Beach,189992,8.2,8.2
FL,St. Petersburg,244769,8.1,8.1
MI,Warren,134056,11.4,11.5
CA,Fontana,196069,9.3,9.2
NY,New Rochelle,77062,10.4,10.5
MA,Fall River,88857,13,13.1
MO,St. Joseph,76780,10.1,10.1
IL,Elgin,108188,9.1,9.1
OR,Medford,74907,10.9,11.1
CA,Union City,69516,7.5,7.5
CA,Temecula,100097,8.3,8.1
TX,Corpus Christi,305215,8.6,8.5
TX,McAllen,129877,7.7,7.7
TX,Lubbock,229573,9.2,9.1
MI,Westland,84094,11.1,11.1
IL,Chicago,2695598,9.9,9.9
CA,Torrance,145438,7.1,7
KS,Kansas City,145786,10.7,10.6
MS,Gulfport,67793,9.2,9.1
LA,Lafayette,120623,9.2,9.1
CO,Aurora,325078,9.2,9.1
VA,Lynchburg,75568,9.7,9.6
NE,Omaha,408958,8.6,8.5
MA,Quincy,92271,9.8,9.8
NY,Albany,97856,11.9,11.9
MI,Farmington Hills,79740,9.4,9.4
CO,Loveland,66859,8.9,8.9
CA,Hawthorne,84293,9.3,9.2
TX,Irving,216290,8.5,8.5
AZ,Tempe,161719,9.9,9.6
WA,Yakima,91067,10.6,10.6
FL,Coral Springs,121096,7.6,7.4
MI,Ann Arbor,113934,9.8,9.3
CT,Stamford,122643,8.6,8.6
CT,Norwalk,85603,8.9,8.9
AZ,Yuma,93064,9.9,9.9
OR,Salem,154637,10.4,10.4
CA,El Monte,113475,8.2,8.1
TX,Pharr,70400,8.3,8.3
CA,West Covina,106098,7.3,7.3
CA,Santa Clara,116468,7.3,7.4
TX,Odessa,99940,8.8,8.8
NV,North Las Vegas,216961,9.1,9.1
CA,Baldwin Park,75390,7.9,7.8
CO,Thornton,118772,9.2,9.1
CA,Salinas,150441,9.2,9.1
CO,Longmont,86270,8.5,8.4
MD,Baltimore,620961,12.3,12.2
CA,Vista,93834,8.7,8.7
CA,South Gate,94396,8.7,8.6
AL,Huntsville,180105,9.5,9.5
AL,Birmingham,212237,10.5,10.5
AL,Hoover,81619,7.9,7.9
CA,Daly City,101123,7,7
IL,Naperville,141853,8.1,8
FL,Lauderhill,66887,9.9,9.9
LA,New Orleans,343829,9.4,9.3
RI,Cranston,80387,11.3,11.3
IN,Lafayette,67140,10.8,10.7
IA,Iowa City,67862,8.3,7.9
MA,Cambridge,105162,9.7,9.7
NM,Las Cruces,97618,10.3,10.3
TX,Beaumont,118296,9.9,9.9
MA,Brockton,93810,12.9,12.9
TX,Denton,113383,9.1,8.7
UT,Orem,88328,8.8,8.7
LA,Baton Rouge,229493,9.4,9.4
UT,Ogden,82825,9.6,9.5
AK,Anchorage,291826,9.3,9.1
WI,Kenosha,99218,9.6,9.5
CA,Corona,152374,8.3,8.2
CA,Redwood City,76815,8.2,8.2
CA,Merced,78958,9.8,9.7
CA,Compton,96455,10.2,10.2
NJ,Union City,66455,8.4,8.3
GA,Sandy Springs,93853,7.7,7.7
WA,Vancouver,161791,10.2,10.2
MA,Newton,85146,9.3,9.2
KY,Lexington,295803,11.3,11.2
UT,Provo,112488,9.6,8.9
SC,Charleston,120083,8.9,8.8
TX,Edinburg,77100,7.6,7.6
OH,Cleveland,396815,11.8,11.7
RI,Pawtucket,71148,13,12.9
CA,Lancaster,156633,9.4,9.3
CA,Irvine,212375,7.3,7.2
TX,Brownsville,175023,8.8,8.7
